x	y
0.432474	-1
-0.606238	-1
0.729391	1
-1	0.938725
-0.315304	1
-1	0.468927
1	-0.224127
-1	-0.471586
-1	0.0201225
1	-0.503554
-0.661529	-1
-0.447143	-1
-1	-0.865714
-1	-0.089583
-0.265815	1
1	-0.00562966
1	-0.884718
-0.227304	1
-0.638717	1
1	0.603477
-1	-0.0940949
1	-0.641649
-0.177204	-1
-0.164217	1
0.815671	-1
0.440999	-1
-0.694209	1
1	-0.00238073
1	0.327357
0.673303	-1
1	-0.42666
-1	-0.603115
-0.771315	-1
1	0.817101
-0.0335915	1
-1	0.909267
-0.458071	1
-1	0.318087
0.801358	-1
-1	-0.833214
-1	0.903574
0.937228	1
0.479077	-1
1	0.682275
-0.667036	1
-0.510658	-1
-1	0.728878
-1	0.791251
0.330234	-1
0.56474	-1
0.0964055	-1
0.629088	-1
0.0307301	1
-0.231093	1
-0.468495	1
-1	-0.498151
-0.351461	-1
-1	-0.771858
1	-0.46568
0.186478	1
-1	-0.980068
0.412316	1
0.652645	-1
-0.154157	1
-0.551007	1
-1	-0.30015
0.500462	-1
-0.583053	-1
0.495877	-1
0.735485	-1
-1	0.876251
-0.852656	1
0.914578	-1
-0.535951	1
-1	-0.93963
1	-0.617865
0.630471	1
0.494034	-1
-0.0439607	1
-0.380226	1
0.879573	-1
-1	-0.313162
-0.375925	-1
0.436523	-1
-0.604824	1
-1	0.598704
-0.258876	-1
0.0321141	-1
-1	0.874318
1	-0.865587
-1	0.166149
0.948325	1
1	0.735629
-1	0.499217
1	0.257145
-0.807364	-1
-0.238531	1
-1	0.668926
1	-0.315758
0.244301	1
-1	0.960906
-0.458935	1
1	0.08506
-0.417965	-1
1	0.201299
1	-0.711426
1	0.575966
-1	0.0829999
0.541066	-1
-1	0.357977
-1	-0.371904
-0.907816	1
0.881871	-1
-0.485231	1
0.0942998	1
-1	0.339665
-1	-0.813818
-1	0.13491
-1	0.826391
1	-0.688328
-1	-0.598502
-1	0.246487
0.659919	-1
0.741044	-1
-1	0.726595
-0.827627	-1
1	0.382154
0.0174593	1
0.110482	-1
-1	0.105103
1	0.0178857
-0.597135	-1
-0.680622	-1
-0.860253	1
-0.630306	-1
0.93945	-1
-0.81639	-1
1	0.363064
0.861276	-1
-0.676003	-1
0.796481	-1
-0.194248	1
1	-0.144068
-1	-0.513104
-0.0395409	1
-0.2978	1
1	0.586799
-0.210889	-1
1	0.800449
-1	-0.795947
0.952412	-1
-1	0.740688
1	0.222301
1	0.184576
-1	-0.0374501
-0.877165	1
-1	0.314414
-0.515287	-1
-0.19143	1
0.0230798	-1
-0.972284	-1
-1	-0.372521
1	-0.682813
0.603038	1
-0.448321	1
-0.374102	-1
1	0.565287
-0.396775	1
-1	0.663789
-1	-0.831237
1	0.811924
-0.135167	1
-0.355939	1
-0.820902	-1
-1	0.917254
0.584052	-1
-1	0.908542
-0.812188	1
-0.778853	-1
1	0.89191
-1	-0.00714588
-0.00602436	-1
1	0.853879
0.231176	-1
1	0.460552
-0.604406	-1
-1	0.208946
1	-0.785868
0.652516	1
0.871272	-1
-0.124496	-1
-1	-0.351992
0.0016849	-1
-1	0.230927
1	0.308808
-1	0.220287
-1	-0.415937
0.042523	-1
1	-0.304074
1	0.516367
1	-0.455719
0.0370245	1
1	-0.526997
-1	0.0722769
-0.24787	1
1	0.862712
0.88791	-1
0.430941	-1
-0.606184	1
1	0.783333
-0.665497	-1
1	0.42241
-0.346181	-1
-1	-0.495152
1	0.210315
1	0.476638
-1	0.728459
1	-0.762779
-0.571767	1
0.518885	-1
-1	0.325603
-1	0.807863
-0.827857	1
-0.39309	-1
1	0.933274
0.182963	1
1	-0.634088
-1	-0.0713221
-1	0.601629
1	-0.886726
0.101333	1
1	0.0244766
0.677875	1
0.948696	1
-1	-0.641661
1	-0.653794
1	-0.0867296
-1	-0.0555271
1	0.169042
-1	0.00912881
1	0.485639
0.00953388	1
-0.433965	-1
-0.730611	-1
1	0.246046
-0.841806	1
1	0.104574
0.825466	1
0.0518924	-1
1	0.939827
-1	-0.394056
-1	-0.249241
0.353492	-1
-1	0.0365521
-1	0.284687
-0.165129	-1
1	-0.968076
1	-0.280399
-1	0.576053
1	0.948055
0.381066	1
1	-0.146707
-0.806098	1
-1	-0.976106
0.890246	1
1	0.324119
0.385559	-1
-1	0.366344
0.190832	1
-0.302454	-1
-0.730431	1
1	-0.714789
0.0766301	1
-1	0.758
-1	0.835623
-1	-0.489071
1	0.14848
-0.950795	1
0.552045	1
1	0.118568
1	0.724089
-0.554912	-1
-0.110331	1
-0.598759	-1
-0.759596	1
-1	-0.160596
0.896983	1
-1	0.532546
-1	0.0494525
-0.365601	-1
1	0.737157
1	0.504844
0.444518	-1
0.830817	1
-0.134379	1
-0.626822	1
1	0.484272
-1	-0.850954
1	0.198736
-0.0699762	-1
1	-0.527998
-1	0.107976
1	0.51813
1	-0.653247
-1	0.123485
0.693524	-1
0.145127	-1
-1	0.805942
-1	-0.988255
-0.987089	-1
-0.0621151	1
-0.696016	1
-1	0.790354
-0.288359	1
0.297445	-1
1	-0.531133
-1	-0.69356
0.595291	1
0.00947332	1
-0.758105	-1
-0.652907	-1
-1	0.19829
0.613091	-1
0.253681	-1
-0.0791061	-1
-0.225591	-1
0.363023	1
1	-0.772661
1	-0.39389
-0.813616	-1
1	0.880267
1	0.960838
1	0.139536
1	0.10605
0.511739	-1
-0.168368	1
1	0.507629
0.874242	1
0.885845	1
0.17242	-1
0.0685167	1
-1	0.486552
0.819838	1
1	0.811838
0.608701	1
-1	0.932246
-0.922801	-1
-0.469741	-1
1	-0.665227
0.569766	1
-1	0.157979
-1	0.0281963
-1	0.828804
-0.825128	1
0.592148	-1
1	-0.614246
1	-0.3329
0.430012	1
0.97284	1
-1	0.214473
-1	0.959135
1	-0.764646
0.751094	-1
1	0.840419
0.587085	-1
1	-0.215331
1	-0.67248
-1	0.0795745
