x	y
-0.9683	0.263914
0.744092	0.18717
0.622952	-0.276583
0.815756	0.427656
-0.776054	0.33078
-0.216682	0.990237
-0.828344	-0.34737
-0.209834	-0.88939
-0.81791	-0.847746
0.983689	-0.796212
-0.637869	-0.424222
-0.377054	0.6756
0.292599	-0.731722
0.53092	-0.718287
0.651821	-0.687621
0.894003	0.968736
-0.261815	0.63023
0.939958	0.58245
0.0992645	-0.735146
0.636806	0.659224
0.651685	0.927009
-0.180541	-0.864638
0.470535	-0.654184
-0.476233	0.87626
-0.756358	0.227912
-0.427018	-0.698417
0.671268	0.173039
-0.0513713	0.774331
-0.114047	0.726056
0.293091	0.636827
0.767001	0.00865441
0.365744	-0.707068
-0.354569	0.764373
0.905116	-0.732023
-0.851651	-0.988993
0.755378	0.946831
0.984994	0.41933
0.725442	-0.373821
0.411871	-0.719384
0.451183	-0.761721
0.784264	-0.654638
-0.963444	-0.697382
-0.222646	0.724317
-0.9301	-0.963407
0.418653	0.783028
0.366363	0.928114
0.0404741	-0.622686
-0.249603	-0.699215
0.272641	-0.985509
-0.710099	0.931223
-0.736008	0.344466
-0.520102	-0.715997
-0.146353	0.861089
-0.630985	-0.0609041
0.0266681	0.871478
0.666392	0.474253
0.718875	0.810865
-0.650232	-0.809284
0.859379	-0.493578
-0.505787	-0.630721
-0.994749	0.584274
-0.906461	0.0734651
0.428978	0.83148
-0.695568	-0.401423
0.511265	-0.674301
-0.590229	0.982254
-0.54286	-0.832072
0.454705	-0.676467
-0.453043	-0.889863
0.889635	-0.443518
-0.754066	-0.607146
0.92546	0.0782723
-0.770341	0.0132355
0.907349	0.245189
0.527047	0.760185
0.971862	-0.0212646
-0.465101	-0.770837
0.768266	-0.931408
-0.029977	-0.609574
-0.854496	0.0720283
-0.650794	0.733018
-0.498497	-0.677139
-0.681574	-0.152416
0.599163	0.944307
0.820473	-0.992152
-0.0860945	0.786406
0.981667	0.789803
0.794126	0.275262
0.193771	-0.645797
0.441206	-0.708341
0.654729	0.448629
0.519493	0.790374
-0.926105	0.90588
0.31088	0.689106
-0.139108	-0.988564
0.725847	0.241507
0.947031	0.744596
0.47101	-0.887907
0.419241	-0.646775
-0.985449	-0.0849464
-0.604706	0.63956
0.12066	-0.647
0.413514	0.706604
0.825563	-0.118058
0.151045	0.804468
-0.606658	0.230587
-0.375475	-0.727659
0.731732	0.560545
0.355978	0.931605
0.0107141	0.949928
-0.0409548	0.890457
-0.990705	-0.872556
0.939067	-0.631472
0.953556	0.887352
-0.484587	-0.612157
-0.657619	0.011969
0.983857	-0.170799
0.402038	-0.719978
-0.481598	-0.683991
0.609007	-0.724695
0.145767	-0.984213
-0.871055	0.305949
0.618749	-0.83926
0.644196	0.698921
-0.0268471	-0.734299
0.727151	0.403532
-0.0851061	0.797656
-0.870345	0.556629
-0.148285	0.736295
0.112139	-0.961827
0.589098	0.711961
-0.677647	0.638659
0.766033	-0.744831
0.29849	0.705504
0.968141	0.480565
-0.867528	0.307873
0.929532	0.0954208
-0.676969	0.112476
-0.918191	0.0203773
0.794993	0.112026
0.793795	-0.244785
0.873984	0.418909
-0.807234	0.993339
-0.00834434	-0.605259
0.93379	-0.363181
-0.895161	-0.250775
0.564637	0.648911
-0.84032	0.0020678
0.832584	-0.763262
-0.952959	-0.000381479
0.437113	0.753502
-0.121343	0.611089
0.603733	0.439549
0.694796	-0.158801
-0.455235	0.725479
0.656268	-0.0626453
0.770977	-0.775152
-0.67396	-0.149209
-0.797091	-0.155756
0.672498	-0.22866
-0.881329	-0.207434
-0.146131	-0.690119
0.79204	0.882948
-0.212325	0.799383
0.451107	0.883788
0.639064	0.0125005
-0.620592	0.527325
0.751263	0.0262881
0.974055	-0.230148
-0.725499	-0.98222
0.357962	0.81253
0.278203	-0.767854
0.18781	-0.65379
-0.825155	-0.966301
0.886454	0.424928
0.881022	0.0180951
-0.973467	0.429128
-0.667082	-0.656801
0.255988	0.600571
-0.685794	-0.823048
