x	y
-0.159242	0.0321686
0.391828	0.368427
0.401677	0.651766
0.422317	0.611808
-0.0320702	-0.302008
-0.791262	-0.134802
-0.180796	0.133214
0.364432	0.860501
-0.790659	0.912585
-0.211879	-0.0845479
-0.521297	0.552766
0.922249	0.398604
0.687477	-0.157269
-0.396546	0.973085
-0.889479	0.0637399
0.714168	0.483157
0.637736	-0.489413
-0.133878	-0.908575
-0.239152	0.751572
0.277765	-0.532761
0.791197	-0.623504
-0.437067	-0.812496
0.573992	-0.413981
-0.685165	0.162156
-0.765539	-0.722884
0.331283	0.794438
0.785088	-0.723275
0.546771	0.590976
-0.753183	-0.479917
0.72493	-0.262135
-0.258523	-0.949991
-0.96234	0.76726
-0.648674	0.731446
-0.595652	-0.219283
-0.914944	-0.744252
0.841268	-0.540074
0.415754	-0.327504
-0.193254	-0.38602
0.561532	-0.716898
-0.378056	-0.954421
0.0375119	0.670389
-0.734087	-0.880896
0.561129	-0.218838
0.82188	0.0692586
0.557197	0.176967
0.280735	-0.966676
0.674498	-0.718841
0.279752	-0.88844
0.157665	-0.715753
0.626823	0.986721
0.38746	-0.689166
-0.318761	-0.621621
0.0175605	0.313908
0.947028	0.656724
0.142132	0.77511
0.0797234	0.808711
0.0126873	-0.724808
0.349716	0.709207
0.474794	0.585821
-0.126117	-0.694108
0.376357	-0.897566
-0.942032	-0.0386167
0.0447787	0.348939
0.0943867	0.819198
-0.498537	0.253808
-0.254078	-0.274376
-0.0649302	-0.699935
-0.284417	0.495088
0.878781	-0.653534
-0.244134	-0.987015
-0.906289	0.271551
0.337119	-0.455312
0.648901	0.935907
-0.959047	0.555926
0.786582	0.325387
0.624088	0.925265
-0.745352	0.954576
0.793265	0.845446
-0.0955927	0.387349
0.199294	-0.880647
0.202116	-0.47549
-0.266643	-0.361889
-0.188584	-0.73832
-0.689992	-0.251855
-0.856612	-0.595362
0.749542	0.992427
0.689649	-0.487358
0.421077	-0.313815
-0.465492	0.271168
-0.263967	-0.961156
0.00392079	-0.826023
0.329507	0.238676
0.839629	-0.00717974
-0.897534	0.504429
0.696941	-0.455637
0.17028	-0.935207
-0.611115	-0.548072
-0.621672	0.601024
-0.384227	-0.776928
0.63634	-0.14229
-0.305864	0.00777948
0.356002	0.54566
0.14864	-0.138047
0.378799	0.736315
-0.3091	0.87575
0.494093	-0.584584
-0.653167	-0.894485
-0.620265	0.424286
-0.325564	0.748527
-0.79561	0.810392
-0.666111	0.210899
-0.80807	-0.0163264
0.768516	0.24623
0.501407	0.127202
-0.480298	0.549976
0.99485	0.223114
-0.377871	0.427011
-0.842268	0.538145
-0.922451	0.229234
0.81215	0.243164
-0.292636	0.0774236
-0.642272	-0.223346
0.821664	-0.813511
0.790232	-0.0477189
-0.485059	0.528859
0.579913	-0.364274
-0.203471	-0.708279
-0.455181	0.24503
-0.146352	0.790324
-0.715995	-0.542732
0.648841	0.3799
0.660347	-0.730307
-0.193573	-0.119027
-0.92474	0.965222
-0.646102	0.267699
0.995123	-0.384247
0.0798548	0.481084
-0.427186	0.10449
-0.770368	-0.326544
0.0512987	-0.870579
0.0231816	-0.156075
0.502643	-0.230266
0.765403	0.238246
-0.0826905	-0.787769
-0.0425125	-0.0697923
0.235844	-0.932341
0.618233	-0.403261
0.692609	0.763011
0.725484	-0.541048
-0.157144	0.143335
-0.7706	-0.495772
0.301781	-0.303737
-0.320025	0.913367
-0.190571	-0.793483
-0.360237	-0.0442495
-0.150886	0.139418
-0.353896	0.00869405
0.550133	0.0996587
-0.234627	0.572847
-0.0958331	0.164468
-0.809289	0.981998
-0.404584	0.474494
-0.106532	-0.900435
-0.488919	0.0892153
-0.559165	-0.913374
-0.770572	0.589689
0.7283	0.516456
-0.469996	0.631912
-0.384058	0.439504
0.63714	-0.777033
0.189888	-0.0298781
0.341097	-0.219564
0.712552	-0.434846
-0.0830116	0.940147
0.275997	0.852959
0.396325	-0.132555
0.222538	0.895691
-0.100067	0.681713
0.457519	-0.394581
0.859835	-0.283263
0.0458224	-0.81342
0.87778	0.0888886
0.61032	0.343636
-0.490006	-0.693764
0.640338	-0.11398
0.320664	-0.845012
0.955389	0.770549
-0.931307	-0.592224
0.0108951	0.0599508
0.665868	0.423812
0.590695	-0.491409
0.829825	0.892428
-0.941835	-0.291038
-0.238757	-0.391537
0.222707	-0.522593
-0.706019	-0.554525
0.275941	-0.261869
-0.389061	0.201917
0.36546	0.0107725
-0.786958	0.953364
0.598928	0.610935
0.895568	0.180491
0.708482	0.5351
-0.902864	0.441594
-0.123542	-0.486618
0.0563409	-0.506231
-0.679557	0.466512
-0.552197	-0.386346
-0.885108	0.612745
0.888383	-0.63883
