x	y
-0.792123	0.637362
0.283872	-0.722649
0.0877395	-0.197994
0.933918	-0.663813
0.526332	-0.997995
-0.260095	-0.0264208
-0.12605	0.950612
-0.629407	0.112036
0.464502	-0.190699
0.378764	-0.590601
0.0315137	0.823914
0.3196	0.0791367
0.832523	-0.342783
0.636302	-0.204974
0.0965279	-0.443647
0.645471	-0.397184
0.36907	-0.263701
-0.0867919	0.700512
-0.253584	-0.392345
-0.85558	0.846827
0.369357	-0.673732
-0.701486	-0.121482
-0.579474	0.518941
0.297877	-0.251552
0.232725	-0.127026
-0.556281	0.210495
-0.0496593	-0.391863
-0.567432	0.886473
0.458504	-0.877587
0.0210034	0.714447
-0.241102	-0.091466
0.42149	0.104189
-0.302502	0.0283613
-0.74351	0.380799
0.688744	-0.105124
0.425879	0.207166
0.675091	-0.996329
-0.338422	0.60794
-0.453985	-0.245009
-0.305161	-0.0717821
0.118547	-0.232087
0.760114	0.164211
0.427909	0.283325
0.914239	-0.632467
-0.0704308	0.176825
-0.418063	0.666626
-0.398424	0.756699
0.313395	0.141184
0.627613	-0.515975
0.448946	-0.561493
-0.0727491	0.907888
0.933671	-0.205082
0.600276	-0.943057
0.961308	-0.217438
0.70387	0.0310467
0.840906	-0.416132
-0.277687	-0.342178
-0.828317	0.352041
-0.531996	-0.419471
0.430185	-0.346394
0.78761	-0.0100776
-0.613281	0.648013
-0.0896142	-0.480097
-0.82378	0.58937
0.79224	0.143721
-0.223143	0.809107
0.262287	0.036972
0.20496	-0.473832
-0.890397	-0.0649861
0.00637436	0.450509
0.538073	0.297939
0.709664	0.340717
-0.450094	0.224033
-0.012606	0.292909
0.844829	-0.602569
0.496225	0.172468
-0.127723	-0.200176
-0.305312	0.539736
0.699947	-0.881562
0.0979365	-0.500015
0.566731	-0.0972185
0.228608	-0.270971
0.183993	0.540146
-0.291515	0.346587
-0.893598	0.649457
0.408052	-0.296864
-0.643742	0.785033
-0.708504	0.550262
-0.903923	0.601348
-0.281532	-0.523444
-0.77382	-0.155534
0.572816	0.385783
-0.331227	-0.102617
0.44156	-0.214611
-0.918613	0.771731
-0.710833	0.57556
0.495215	0.150604
-0.114696	0.629888
-0.221197	-0.0440187
0.758518	-0.154263
-0.653528	0.886312
-0.145512	-0.227621
0.718323	0.207716
0.369091	-0.39318
0.593763	0.324991
-0.498933	0.38218
-0.864308	0.140999
0.46523	-0.680868
-0.963909	0.0662892
-0.145377	-0.424297
-0.519754	0.152939
0.174955	-0.163551
0.522944	-0.635318
0.176618	0.260997
-0.687331	0.556796
-0.22964	0.984716
0.354047	-0.805769
0.101031	-0.662224
-0.630154	0.14218
0.621283	-0.98186
0.377045	0.330375
-0.599306	0.00510681
0.27966	0.363143
-0.529716	-0.0637822
0.926063	-0.787039
0.95501	-0.0704877
-0.229283	0.0429003
0.860479	-0.763599
-0.133808	-0.248859
-0.0029434	-0.554581
-0.168884	0.668783
-0.540205	0.330317
0.633663	-0.0143895
