x	y
1	0.984313
2	1.16398
3	0.826768
4	0.685139
5	0.80502
6	1.03119
7	0.756918
8	0.795922
9	0.761449
10	0.931521
11	0.797739
12	0.672667
13	0.690965
14	0.855782
15	0.928988
16	0.975832
17	0.725373
18	0.932946
19	0.85357
20	0.954039
21	0.863078
22	0.697847
23	0.856479
24	0.594899
25	0.548571
26	0.683095
27	0.679483
28	0.810744
29	0.566036
30	0.722177
31	0.59894
32	0.593621
33	0.539144
34	0.603828
35	0.484847
36	0.621655
37	0.63819
38	0.954822
39	0.683475
40	0.588376
41	0.528479
42	0.746391
43	0.689557
44	0.608531
45	0.661292
46	0.63329
47	0.473008
48	0.593705
49	0.536798
50	0.52252
51	0.65437
52	0.599525
53	0.608794
54	0.510251
55	0.499114
56	0.688915
57	0.580949
58	0.689103
59	0.682042
60	0.548673
61	0.583231
62	0.531838
63	0.350407
64	0.636702
65	0.605148
66	0.615428
67	0.590925
68	0.535605
69	0.455902
70	0.623602
71	0.526113
72	0.53745
73	0.442737
74	0.412761
75	0.500347
76	0.413785
77	0.535304
78	0.568268
79	0.452838
80	0.460506
81	0.550826
82	0.335677
83	0.412628
84	0.551372
85	0.481006
86	0.615863
87	0.559868
88	0.439069
89	0.391477
90	0.44468
91	0.475938
92	0.482634
93	0.490871
94	0.426973
95	0.441521
96	0.42862
97	0.542535
98	0.391117
99	0.451228
100	0.322808
101	0.824682
102	0.983342
103	0.787318
104	0.74242
105	0.72456
106	0.868163
107	0.810485
108	0.705746
109	0.755397
110	0.732789
111	0.885284
112	0.61685
113	0.742244
114	0.744561
115	0.728527
116	0.647202
117	0.72307
118	0.67815
119	0.674109
120	0.639644
121	0.632962
122	0.726823
123	0.797519
124	0.58475
125	0.591247
126	0.681786
127	0.602511
128	0.643553
129	0.592511
130	0.670488
131	0.610493
132	0.630881
133	0.507223
134	0.543029
135	0.678268
136	0.554943
137	0.586718
138	0.564136
139	0.555978
140	0.635393
141	0.490732
142	0.478659
143	0.531626
144	0.725507
145	0.56302
146	0.445377
147	0.483318
148	0.509524
149	0.474104
150	0.510228
151	0.41626
152	0.505766
153	0.390121
154	0.527637
155	0.466313
156	0.481672
157	0.498145
158	0.451534
159	0.368008
160	0.48219
161	0.457796
162	0.427705
163	0.435158
164	0.512232
165	0.409351
166	0.335721
167	0.394452
168	0.425092
169	0.408501
170	0.341058
171	0.397863
172	0.375559
173	0.402169
174	0.349778
175	0.337348
176	0.387603
177	0.339219
178	0.378409
179	0.31975
180	0.393206
181	0.291627
182	0.394776
183	0.286945
184	0.303064
185	0.323438
186	0.295661
187	0.299484
188	0.306626
189	0.282169
190	0.27336
191	0.317624
192	0.236295
193	0.332181
194	0.219294
195	0.261647
196	0.248853
197	0.273116
198	0.248029
199	0.271066
200	0.241642
201	0.426962
202	0.378007
203	0.419894
204	0.433342
205	0.412048
206	0.311041
207	0.359541
208	0.375349
209	0.398418
210	0.393367
211	0.416112
212	0.404532
213	0.365904
214	0.337085
215	0.396167
216	0.365553
217	0.332808
218	0.341147
219	0.340638
220	0.314582
221	0.31572
222	0.372554
223	0.278714
224	0.349167
225	0.307275
226	0.251323
227	0.371774
228	0.240161
229	0.307502
230	0.260958
231	0.29333
232	0.242422
233	0.234864
234	0.256607
235	0.207839
236	0.212118
237	0.258526
238	0.173725
239	0.208593
240	0.223312
241	0.208633
242	0.207881
243	0.188766
244	0.187514
245	0.172277
246	0.116315
247	0.179944
248	0.184467
249	0.154992
250	0.153986
251	0.115951
252	0.179368
253	0.134668
254	0.129118
255	0.121172
256	0.109236
257	0.112168
258	0.131512
259	0.0974688
260	0.110902
261	0.0869592
262	0.11031
263	0.0705569
264	0.0790434
265	0.0793971
266	0.0908112
267	0.0995615
268	0.0938384
269	0.0770642
270	0.0847355
