x	y
1	0.282651
2	0.28265
3	0.28265
4	0.28265
5	0.28265
6	0.28265
7	0.28265
8	0.28265
9	0.28265
10	0.28265
11	0.28265
12	0.28265
13	0.28265
14	0.282649
15	0.282649
16	0.282649
17	0.282649
18	0.282649
19	0.282649
20	0.282649
21	0.282649
22	0.282648
23	0.282648
24	0.282648
25	0.282648
26	0.282647
27	0.282647
28	0.282647
29	0.282647
30	0.282646
31	0.282646
32	0.282645
33	0.282645
34	0.282645
35	0.282644
36	0.282644
37	0.282643
38	0.282643
39	0.282643
40	0.282642
41	0.282642
42	0.282641
43	0.282641
44	0.282641
45	0.28264
46	0.28264
47	0.282639
48	0.282639
49	0.282638
50	0.282638
51	0.264629
52	0.264629
53	0.264628
54	0.264628
55	0.264627
56	0.264627
57	0.264627
58	0.264626
59	0.264626
60	0.264625
61	0.264625
62	0.264624
63	0.264624
64	0.264623
65	0.264623
66	0.264623
67	0.264622
68	0.264622
69	0.264621
70	0.264621
71	0.26462
72	0.26462
73	0.26462
74	0.264619
75	0.264619
76	0.264618
77	0.264618
78	0.264618
79	0.264617
80	0.264617
81	0.264616
82	0.264616
83	0.264616
84	0.264615
85	0.264615
86	0.264614
87	0.264614
88	0.264614
89	0.264613
90	0.264613
91	0.264613
92	0.264613
93	0.264612
94	0.264612
95	0.264612
96	0.264611
97	0.264611
98	0.264611
99	0.264611
100	0.26461
101	0.250386
102	0.250386
103	0.250386
104	0.250385
105	0.250385
106	0.250385
107	0.250385
108	0.250385
109	0.250385
110	0.250386
111	0.250386
112	0.250386
113	0.250386
114	0.250387
115	0.250387
116	0.250387
117	0.250387
118	0.250388
119	0.250388
120	0.250388
121	0.250389
122	0.250389
123	0.25039
124	0.25039
125	0.250391
126	0.250391
127	0.250392
128	0.250392
129	0.250392
130	0.250393
131	0.250393
132	0.250394
133	0.250394
134	0.250395
135	0.250395
136	0.250396
137	0.250396
138	0.250397
139	0.250398
140	0.250398
141	0.250399
142	0.250399
143	0.2504
144	0.250401
145	0.250401
146	0.250402
147	0.250403
148	0.250404
149	0.250404
150	0.250405
151	0.238349
152	0.238349
153	0.23835
154	0.238351
155	0.238352
156	0.238353
157	0.238354
158	0.238355
159	0.238356
160	0.238357
161	0.238357
162	0.238358
163	0.238359
164	0.238361
165	0.238362
166	0.238363
167	0.238364
168	0.238365
169	0.238365
170	0.238366
171	0.238367
172	0.238368
173	0.238369
174	0.23837
175	0.238371
176	0.238372
177	0.238373
178	0.238374
179	0.238375
180	0.238376
181	0.238377
182	0.238379
183	0.23838
184	0.238381
185	0.238382
186	0.238383
187	0.238384
188	0.238385
189	0.238387
190	0.238388
191	0.238389
192	0.23839
193	0.238392
194	0.238393
195	0.238394
196	0.238395
197	0.238397
198	0.238398
199	0.238399
200	0.238401
201	0.228246
202	0.228247
203	0.228249
204	0.22825
205	0.228252
206	0.228254
207	0.228255
208	0.228257
209	0.228259
210	0.228261
211	0.228263
212	0.228265
213	0.228267
214	0.228268
215	0.22827
216	0.228273
217	0.228275
218	0.228277
219	0.228279
220	0.228281
221	0.228283
222	0.228285
223	0.228288
224	0.22829
225	0.228292
226	0.228295
227	0.228297
228	0.2283
229	0.228302
230	0.228304
231	0.228306
232	0.228309
233	0.228311
234	0.228313
235	0.228315
236	0.228318
237	0.22832
238	0.228322
239	0.228324
240	0.228326
241	0.228327
242	0.228329
243	0.228331
244	0.228333
245	0.228334
246	0.228336
247	0.228337
248	0.228339
249	0.22834
250	0.228342
251	0.219344
252	0.219346
253	0.219347
254	0.219348
255	0.219349
256	0.219351
257	0.219352
258	0.219353
259	0.219354
260	0.219355
261	0.219356
262	0.219357
263	0.219358
264	0.219359
265	0.219359
266	0.21936
267	0.219361
268	0.219362
269	0.219363
270	0.219363
271	0.219364
272	0.219365
273	0.219366
274	0.219366
275	0.219367
276	0.219367
277	0.219368
278	0.219368
279	0.219368
280	0.219368
281	0.219368
282	0.219368
283	0.219368
284	0.219368
285	0.219367
286	0.219367
287	0.219366
288	0.219366
289	0.219365
290	0.219363
291	0.219362
292	0.219361
293	0.21936
294	0.219359
295	0.219358
296	0.219356
297	0.219355
298	0.219353
299	0.219351
300	0.219349
301	0.211251
302	0.211249
303	0.211248
304	0.211247
305	0.211246
306	0.211245
307	0.211245
308	0.211245
309	0.211244
310	0.211244
311	0.211244
312	0.211244
313	0.211243
314	0.211244
315	0.211244
316	0.211245
317	0.211246
318	0.211247
319	0.211248
320	0.21125
321	0.211251
322	0.211253
323	0.211255
324	0.211257
325	0.211258
326	0.21126
327	0.211262
328	0.211263
329	0.211264
330	0.211265
331	0.211265
332	0.211266
333	0.211266
334	0.211266
335	0.211267
336	0.211267
337	0.211267
338	0.211267
339	0.211268
340	0.211268
341	0.211267
342	0.211268
343	0.211268
344	0.211268
345	0.211269
346	0.211269
347	0.21127
348	0.21127
349	0.21127
350	0.21127
351	0.204463
352	0.204463
353	0.204464
354	0.204464
355	0.204465
356	0.204466
357	0.204467
358	0.204468
359	0.204469
360	0.204471
361	0.204472
362	0.204473
363	0.204474
364	0.204476
365	0.204478
366	0.204479
367	0.204481
368	0.204482
369	0.204484
370	0.204485
371	0.204487
372	0.204488
373	0.20449
374	0.204491
375	0.204493
376	0.204495
377	0.204498
378	0.2045
379	0.204502
380	0.204504
381	0.204506
382	0.204508
383	0.20451
384	0.204512
385	0.204514
386	0.204516
387	0.204518
388	0.20452
389	0.204522
390	0.204525
391	0.204527
392	0.20453
393	0.204532
394	0.204535
395	0.204538
396	0.20454
397	0.204543
398	0.204546
399	0.204549
400	0.204551
401	0.198419
402	0.198421
403	0.198423
404	0.198425
405	0.198427
406	0.198428
407	0.19843
408	0.198431
409	0.198432
410	0.198434
411	0.198435
412	0.198436
413	0.198437
414	0.198437
415	0.198438
416	0.198439
417	0.198439
418	0.198441
419	0.198442
420	0.198443
421	0.198444
422	0.198445
423	0.198446
424	0.198448
425	0.198449
426	0.19845
427	0.198451
428	0.198451
429	0.198452
430	0.198453
431	0.198454
432	0.198454
433	0.198455
434	0.198456
435	0.198456
436	0.198457
437	0.198458
438	0.198458
439	0.198458
440	0.198459
441	0.198459
442	0.19846
443	0.19846
444	0.19846
445	0.198461
446	0.198461
447	0.198461
448	0.19846
449	0.19846
450	0.198459
451	0.19246
452	0.192459
453	0.192459
454	0.19246
455	0.19246
456	0.192461
457	0.192462
458	0.192464
459	0.192465
460	0.192467
461	0.192469
462	0.192471
463	0.192473
464	0.192474
465	0.192477
466	0.192481
467	0.192485
