x	y
1	11.3121
2	11.3122
3	11.3124
4	11.3126
5	11.3128
6	11.313
7	11.3132
8	11.3134
9	11.3136
10	11.3138
11	11.9416
12	11.9418
13	11.942
14	11.9422
15	11.9424
16	11.9426
17	11.9428
18	11.943
19	11.9433
20	11.9435
21	12.5362
22	12.5364
23	12.5367
24	12.5369
25	12.5372
26	12.5374
27	12.5377
28	12.538
29	12.5382
30	12.5385
31	13.0854
32	13.0857
33	13.0859
34	13.0862
35	13.0865
36	13.0867
37	13.087
38	13.0873
39	13.0876
40	13.0879
41	13.5065
42	13.5068
43	13.5071
44	13.5074
45	13.5076
46	13.5079
47	13.5082
48	13.5085
49	13.5088
50	13.5092
51	13.8567
52	13.857
53	13.8573
54	13.8576
55	13.8579
56	13.8583
57	13.8586
58	13.8589
59	13.8593
60	13.8596
61	14.1488
62	14.1492
63	14.1495
64	14.1499
65	14.1502
66	14.1506
67	14.1509
68	14.1513
69	14.1516
70	14.152
71	14.4391
72	14.4395
73	14.4398
74	14.4402
75	14.4406
76	14.441
77	14.4413
78	14.4417
79	14.4421
80	14.4425
81	14.6633
82	14.6637
83	14.6641
84	14.6645
85	14.6649
86	14.6653
87	14.6657
88	14.6661
89	14.6665
90	14.6669
91	14.8239
92	14.8243
93	14.8248
94	14.8252
95	14.8256
96	14.8261
97	14.8265
98	14.827
99	14.8274
100	14.8279
101	14.9424
102	14.9429
103	14.9433
104	14.9438
105	14.9443
106	14.9448
107	14.9453
108	14.9458
109	14.9463
110	14.9468
111	15.2636
112	15.2641
113	15.2646
114	15.2652
115	15.2657
116	15.2663
117	15.2668
118	15.2674
119	15.2679
120	15.2685
121	15.4852
122	15.4858
123	15.4863
124	15.4869
125	15.4875
126	15.488
127	15.4886
128	15.4892
129	15.4898
130	15.4904
131	15.6714
132	15.672
133	15.6726
134	15.6732
135	15.6738
136	15.6744
137	15.675
138	15.6756
139	15.6763
140	15.6769
141	15.7847
142	15.7854
143	15.786
144	15.7866
145	15.7873
146	15.7879
147	15.7886
148	15.7893
149	15.7899
150	15.7906
151	15.8261
152	15.8268
153	15.8275
154	15.8282
155	15.8289
156	15.8296
157	15.8303
158	15.831
159	15.8317
160	15.8324
161	15.935
162	15.9357
163	15.9364
164	15.9371
165	15.9378
166	15.9385
167	15.9393
168	15.94
169	15.9407
170	15.9414
171	16
172	16.0008
173	16.0015
174	16.0022
175	16.003
176	16.0037
177	16.0045
178	16.0052
179	16.006
180	16.0067
181	16.017
182	16.0178
183	16.0185
184	16.0193
185	16.02
186	16.0208
187	16.0216
188	16.0223
189	16.0231
190	16.0239
191	16.0502
192	16.051
193	16.0518
194	16.0526
195	16.0534
196	16.0542
197	16.055
198	16.0558
199	16.0566
200	16.0574
201	16.041
202	16.0418
203	16.0427
204	16.0435
205	16.0443
206	16.0451
207	16.046
208	16.0469
209	16.0477
210	16.0486
211	16.1105
212	16.1114
213	16.1123
214	16.1131
215	16.114
216	16.1149
217	16.1158
218	16.1167
219	16.1176
220	16.1185
221	16.1639
222	16.1648
223	16.1657
224	16.1666
225	16.1675
226	16.1683
227	16.1692
228	16.1701
229	16.171
230	16.1719
231	16.1316
232	16.1325
233	16.1335
234	16.1344
235	16.1353
236	16.1362
237	16.1372
238	16.1381
239	16.139
240	16.14
241	16.1018
242	16.1028
243	16.1037
244	16.1047
245	16.1056
246	16.1066
247	16.1076
248	16.1085
249	16.1095
250	16.1105
251	16.1176
252	16.1185
253	16.1195
254	16.1205
255	16.1214
256	16.1224
257	16.1233
258	16.1243
259	16.1252
260	16.1262
261	16.0766
262	16.0776
263	16.0785
264	16.0795
265	16.0805
266	16.0815
267	16.0824
268	16.0834
269	16.0844
270	16.0854
271	16.0149
272	16.0159
273	16.0169
274	16.0179
275	16.0189
276	16.0199
277	16.0209
278	16.0219
279	16.023
280	16.024
281	16.0461
282	16.0471
283	16.0481
284	16.0491
285	16.0501
286	16.0512
287	16.0522
288	16.0532
289	16.0542
290	16.0553
291	15.9328
292	15.9338
293	15.9349
294	15.936
295	15.937
296	15.9381
297	15.9391
298	15.9402
299	15.9413
300	15.9424
301	15.8923
302	15.8934
303	15.8945
304	15.8956
305	15.8967
306	15.8978
307	15.8989
308	15.9
309	15.9012
310	15.9023
311	15.8772
312	15.8783
313	15.8794
314	15.8805
315	15.8816
316	15.8827
317	15.8839
318	15.885
319	15.8861
320	15.8872
321	15.8443
322	15.8454
323	15.8466
324	15.8477
325	15.8489
326	15.85
327	15.8512
328	15.8523
329	15.8535
330	15.8547
331	15.7788
332	15.78
333	15.7811
334	15.7823
335	15.7835
336	15.7847
337	15.7859
338	15.7871
339	15.7883
340	15.7895
341	15.7553
342	15.7565
343	15.7577
344	15.759
345	15.7602
346	15.7614
347	15.7626
348	15.7638
349	15.765
350	15.7663
351	15.7213
352	15.7225
353	15.7238
354	15.725
355	15.7263
356	15.7275
357	15.7287
358	15.73
359	15.7313
360	15.7325
361	15.659
362	15.6603
363	15.6616
364	15.6628
365	15.6641
366	15.6654
367	15.6667
368	15.6679
369	15.6692
370	15.6705
371	15.6019
372	15.6031
373	15.6044
374	15.6057
375	15.607
376	15.6083
377	15.6096
378	15.6109
379	15.6122
380	15.6135
381	15.5499
382	15.5512
383	15.5525
384	15.5539
385	15.5552
386	15.5565
387	15.5579
388	15.5592
389	15.5605
390	15.5619
391	15.4585
392	15.4599
393	15.4612
394	15.4626
395	15.464
396	15.4653
397	15.4667
398	15.468
399	15.4694
400	15.4708
401	15.4357
402	15.437
403	15.4384
404	15.4398
405	15.4412
406	15.4426
407	15.444
408	15.4454
409	15.4468
410	15.4482
411	15.4291
412	15.4305
413	15.4319
414	15.4333
415	15.4347
416	15.4362
417	15.4376
418	15.439
419	15.4405
420	15.4419
421	15.3416
422	15.343
423	15.3445
424	15.3459
425	15.3474
426	15.3488
427	15.3503
428	15.3518
429	15.3532
430	15.3547
431	15.2349
432	15.2364
433	15.2379
434	15.2394
435	15.2409
436	15.2425
437	15.244
438	15.2455
439	15.247
440	15.2486
441	15.1355
442	15.137
443	15.1385
444	15.1401
445	15.1416
446	15.1432
447	15.1447
448	15.1463
449	15.1478
450	15.1494
451	15.1022
452	15.1037
453	15.1053
454	15.1068
455	15.1084
456	15.1099
457	15.1115
458	15.1131
459	15.1146
460	15.1161
461	15.0615
462	15.063
463	15.0646
464	15.0662
465	15.0677
466	15.0693
467	15.0709
468	15.0724
469	15.074
470	15.0755
471	14.9677
472	14.9693
473	14.9709
474	14.9724
475	14.974
476	14.9755
477	14.9771
478	14.9787
479	14.9803
480	14.9818
481	14.9763
482	14.9779
483	14.9794
484	14.981
485	14.9826
486	14.9841
487	14.9857
488	14.9873
489	14.9889
490	14.9904
491	14.9007
492	14.9022
493	14.9038
494	14.9054
495	14.907
496	14.9086
497	14.9101
498	14.9117
499	14.9132
500	14.9148
501	14.7801
502	14.7817
503	14.7833
504	14.7849
505	14.7865
506	14.7881
507	14.7897
508	14.7913
509	14.793
510	14.7946
511	14.7615
512	14.7631
513	14.7647
514	14.7662
515	14.7678
516	14.7694
517	14.771
518	14.7726
519	14.7742
520	14.7757
521	14.6982
522	14.6998
523	14.7014
524	14.703
525	14.7046
526	14.7062
527	14.7078
528	14.7093
529	14.7109
530	14.7125
531	14.5573
532	14.5589
533	14.5605
534	14.5621
535	14.5637
536	14.5653
537	14.5669
538	14.5685
539	14.5702
540	14.5718
541	14.4276
542	14.4292
543	14.4308
544	14.4324
545	14.434
546	14.4356
547	14.4372
548	14.4389
549	14.4405
550	14.4421
551	14.2222
552	14.2239
553	14.2256
554	14.2272
555	14.2289
556	14.2306
557	14.2322
558	14.2339
559	14.2355
560	14.2372
561	14.2007
562	14.2023
563	14.2039
564	14.2056
565	14.2072
566	14.2089
567	14.2105
568	14.2121
569	14.2138
570	14.2154
571	13.9537
572	13.9553
573	13.957
574	13.9587
575	13.9603
576	13.962
577	13.9636
578	13.9653
579	13.9669
580	13.9686
581	13.7081
582	13.7097
583	13.7113
584	13.7129
585	13.7145
586	13.7162
587	13.7178
588	13.7194
589	13.721
590	13.7226
591	13.5185
592	13.52
593	13.5216
594	13.5232
595	13.5247
596	13.5263
597	13.5278
598	13.5293
599	13.5308
600	13.5322
601	13.1856
602	13.187
603	13.1885
604	13.1899
605	13.1914
606	13.1928
607	13.1943
608	13.1957
609	13.1971
610	13.1985
611	12.8621
612	12.8635
613	12.865
614	12.8664
615	12.8678
616	12.8692
617	12.8706
618	12.8721
619	12.8735
620	12.8749
621	12.6508
622	12.6522
623	12.6536
624	12.655
625	12.6563
626	12.6577
627	12.6591
628	12.6605
629	12.6619
630	12.6633
631	12.4201
632	12.4215
633	12.4228
634	12.4242
635	12.4256
636	12.427
637	12.4283
638	12.4297
639	12.431
640	12.4324
641	12.1857
642	12.1871
643	12.1886
644	12.1901
645	12.1916
646	12.1931
647	12.1946
648	12.1961
649	12.1976
650	12.199
651	11.8707
652	11.8722
653	11.8737
654	11.8753
655	11.8769
656	11.8786
657	11.8803
658	11.8821
659	11.8838
660	11.8856
661	11.6329
662	11.6347
663	11.6365
664	11.6383
665	11.6402
666	11.6422
667	11.6442
668	11.6462
669	11.6483
670	11.6503
671	11.4448
672	11.447
673	11.4493
674	11.4515
675	11.4539
676	11.4562
677	11.4585
678	11.4608
679	11.4632
680	11.4655
681	11.2153
682	11.2177
683	11.2201
684	11.2227
685	11.2254
686	11.228
687	11.2307
688	11.2337
689	11.2367
690	11.2396
691	10.9895
692	10.9923
693	10.9952
694	10.998
695	11.0008
696	11.0037
697	11.0065
698	11.0094
699	11.0123
700	11.0151
701	10.7893
702	10.7919
703	10.7945
704	10.7972
705	10.8
706	10.8027
707	10.8055
708	10.8082
709	10.811
710	10.8137
711	10.5854
712	10.5881
713	10.5909
714	10.5935
715	10.5961
716	10.5987
717	10.6013
718	10.6038
719	10.6061
720	10.6084
721	10.418
722	10.4202
723	10.4225
724	10.4246
725	10.4268
726	10.429
727	10.4309
728	10.4329
729	10.4346
730	10.4362
731	10.1837
732	10.1853
733	10.1869
734	10.1884
735	10.1899
736	10.1916
737	10.1932
738	10.1948
739	10.1963
740	10.1979
741	10.0138
742	10.0153
743	10.0166
744	10.018
745	10.0195
746	10.0209
747	10.0223
748	10.0235
749	10.0247
750	10.0259
751	9.87986
752	9.88129
753	9.88279
754	9.88432
755	9.88592
756	9.88766
757	9.88944
758	9.89118
759	9.89296
760	9.8948
761	9.73518
762	9.73669
763	9.73831
764	9.73989
765	9.74144
766	9.7429
767	9.7445
768	9.74608
769	9.7477
770	9.74919
771	9.64585
772	9.64727
773	9.64862
774	9.65006
775	9.65146
776	9.65277
777	9.65422
778	9.65559
779	9.65692
780	9.65823
781	9.51344
782	9.51486
783	9.51625
784	9.51779
785	9.51932
786	9.5208
787	9.52222
788	9.52368
789	9.52521
790	9.52671
791	9.41544
792	9.41664
793	9.41772
794	9.41874
795	9.41983
796	9.42096
797	9.4221
798	9.42317
799	9.42424
800	9.42526
801	9.32263
802	9.32352
803	9.32439
804	9.3252
805	9.32598
806	9.32679
807	9.32753
808	9.32817
809	9.32879
810	9.32955
811	9.2839
812	9.2845
813	9.28515
814	9.28582
815	9.28643
816	9.28712
817	9.2879
818	9.28859
819	9.28933
820	9.28998
821	9.22054
822	9.22115
823	9.22186
824	9.22265
825	9.22347
826	9.22438
827	9.22536
828	9.22644
829	9.22767
830	9.22895
831	9.18219
832	9.18375
833	9.18534
834	9.18697
835	9.18863
836	9.19031
837	9.19199
838	9.19362
839	9.19526
840	9.19686
841	9.15406
842	9.1555
843	9.1569
844	9.15817
845	9.15939
846	9.16053
847	9.16158
848	9.16255
849	9.16355
850	9.16445
851	9.12076
852	9.12162
853	9.12247
854	9.12341
855	9.1243
856	9.12511
857	9.12587
858	9.12663
859	9.1274
860	9.12825
861	9.07206
862	9.07287
863	9.07367
864	9.07441
865	9.0751
866	9.07566
867	9.07621
868	9.07667
869	9.07701
870	9.07728
871	8.93375
872	8.9339
873	8.934
874	8.93416
875	8.93442
876	8.93472
877	8.93507
878	8.93531
879	8.9356
880	8.9359
881	8.91809
882	8.91855
883	8.91894
884	8.91927
885	8.91973
886	8.92022
887	8.92065
888	8.92109
889	8.92146
890	8.92193
891	8.86081
892	8.86125
893	8.86173
894	8.86217
895	8.8626
896	8.86306
897	8.86355
898	8.86411
899	8.86472
900	8.8653
901	8.85102
902	8.85149
903	8.85203
904	8.85264
905	8.85309
906	8.85348
907	8.8538
908	8.85408
909	8.8544
910	8.8547
911	8.81998
912	8.82035
913	8.82069
914	8.82102
915	8.82143
916	8.82183
917	8.82232
918	8.82276
919	8.82329
920	8.82374
921	8.78065
922	8.78113
923	8.78166
924	8.78227
925	8.78303
926	8.78373
927	8.78448
928	8.78525
929	8.78599
930	8.78665
931	8.77093
932	8.77159
933	8.77226
934	8.77279
935	8.77328
936	8.77367
937	8.77401
938	8.77435
939	8.77466
940	8.77494
941	8.73119
942	8.73124
943	8.73128
944	8.73133
945	8.73136
946	8.7315
947	8.73172
948	8.73198
949	8.73229
950	8.73265
951	8.68195
952	8.68229
953	8.68269
954	8.68319
955	8.6837
956	8.68413
957	8.68447
958	8.68487
959	8.68519
960	8.68545
961	8.65966
962	8.65992
963	8.66017
964	8.6604
965	8.66057
966	8.66083
967	8.66117
968	8.66149
969	8.66185
970	8.66226
971	8.58711
972	8.58743
973	8.58779
974	8.58804
975	8.58831
976	8.58868
977	8.58906
978	8.5894
979	8.58973
980	8.59001
981	8.56473
982	8.56508
983	8.56539
984	8.56577
985	8.5662
986	8.56653
987	8.56679
988	8.56705
989	8.56728
990	8.56746
991	8.54046
992	8.54067
993	8.54074
994	8.54083
995	8.54092
996	8.54091
997	8.54085
998	8.54065
999	8.54047
1000	8.54023
1001	8.46161
1002	8.46128
1003	8.461
1004	8.4608
1005	8.46067
1006	8.46059
1007	8.46062
1008	8.46068
1009	8.46068
1010	8.46063
1011	8.47092
1012	8.47065
1013	8.47033
1014	8.4701
1015	8.4699
1016	8.46976
1017	8.46974
1018	8.46981
1019	8.46988
1020	8.47
1021	8.46237
1022	8.46249
1023	8.46252
1024	8.4626
1025	8.46274
1026	8.46303
1027	8.46333
1028	8.46361
1029	8.46395
1030	8.46434
1031	8.39991
1032	8.4003
1033	8.40075
1034	8.40123
1035	8.40166
1036	8.40209
1037	8.4026
1038	8.40314
1039	8.40373
1040	8.40426
1041	8.36003
1042	8.3606
1043	8.36121
1044	8.3618
1045	8.36244
1046	8.36314
1047	8.36385
1048	8.36456
1049	8.36527
1050	8.36602
1051	8.28038
1052	8.28109
1053	8.28178
1054	8.28241
1055	8.28305
1056	8.28367
1057	8.28424
1058	8.28477
1059	8.28525
1060	8.28568
1061	8.2623
1062	8.26277
1063	8.26321
1064	8.26373
1065	8.2643
1066	8.26487
1067	8.2655
1068	8.26615
1069	8.26681
1070	8.2675
1071	8.15627
1072	8.15699
1073	8.15774
1074	8.15845
1075	8.15922
1076	8.15993
1077	8.16061
1078	8.16133
1079	8.162
1080	8.16257
1081	8.10726
1082	8.10779
1083	8.10825
1084	8.10865
1085	8.10912
1086	8.10963
1087	8.11013
1088	8.11065
1089	8.1111
1090	8.11148
1091	8.04606
1092	8.04648
1093	8.04696
1094	8.04736
1095	8.0478
1096	8.0483
1097	8.0488
1098	8.04929
1099	8.04969
1100	8.05008
1101	7.98773
1102	7.98832
1103	7.98901
1104	7.98974
1105	7.99051
1106	7.99125
1107	7.992
1108	7.99276
1109	7.99343
1110	7.9941
1111	7.94087
1112	7.94164
1113	7.94255
1114	7.94339
1115	7.94427
1116	7.94519
1117	7.94621
1118	7.94723
1119	7.94828
1120	7.94927
1121	7.94442
1122	7.94543
1123	7.94639
1124	7.94736
1125	7.94823
1126	7.94904
1127	7.94985
1128	7.95064
1129	7.95141
1130	7.95217
1131	7.91845
1132	7.91908
1133	7.91965
1134	7.92012
1135	7.92062
1136	7.9211
1137	7.92161
1138	7.92204
1139	7.9225
1140	7.92294
1141	7.85289
1142	7.85333
1143	7.85381
1144	7.85428
1145	7.85476
1146	7.85522
1147	7.85569
1148	7.85617
1149	7.8567
1150	7.85719
1151	7.85319
1152	7.85354
1153	7.85385
1154	7.85419
1155	7.85452
1156	7.8549
1157	7.85523
1158	7.85564
1159	7.85604
1160	7.85643
1161	7.75961
1162	7.75992
1163	7.76023
1164	7.76054
1165	7.76083
1166	7.76101
1167	7.76117
1168	7.76131
1169	7.76135
1170	7.7614
1171	7.67649
1172	7.67653
1173	7.6766
1174	7.67679
1175	7.67691
1176	7.67709
1177	7.6773
1178	7.67753
1179	7.67775
1180	7.67801
1181	7.61631
1182	7.61663
1183	7.61705
1184	7.61749
1185	7.61791
1186	7.61835
1187	7.61879
1188	7.61931
1189	7.61989
1190	7.62043
1191	7.54813
1192	7.54877
1193	7.54946
1194	7.55011
1195	7.55076
1196	7.55143
1197	7.55202
1198	7.55257
1199	7.55304
1200	7.55335
1201	7.51584
1202	7.51613
1203	7.51645
1204	7.51679
1205	7.51724
1206	7.51777
1207	7.51842
1208	7.51905
1209	7.51976
1210	7.52045
1211	7.46735
1212	7.46804
1213	7.46876
1214	7.46951
1215	7.47013
1216	7.47073
1217	7.47144
1218	7.47214
1219	7.47282
1220	7.47355
1221	7.46769
1222	7.4684
1223	7.46901
1224	7.46947
1225	7.46998
1226	7.47044
1227	7.47086
1228	7.4713
1229	7.4718
1230	7.47229
1231	7.41152
1232	7.41198
1233	7.41243
1234	7.41293
1235	7.41337
1236	7.41372
1237	7.41402
1238	7.4143
1239	7.41449
1240	7.41468
1241	7.31997
1242	7.32021
1243	7.32047
1244	7.32072
1245	7.32104
1246	7.32139
1247	7.3218
1248	7.3222
1249	7.3226
1250	7.32296
1251	7.30861
1252	7.30896
1253	7.30931
1254	7.30966
1255	7.31003
1256	7.31047
1257	7.31091
1258	7.31135
1259	7.31175
1260	7.31217
1261	7.25169
1262	7.25203
1263	7.25242
1264	7.25281
1265	7.25326
1266	7.25369
1267	7.25415
1268	7.25459
1269	7.25505
1270	7.2555
1271	7.21817
1272	7.21843
1273	7.2187
1274	7.21895
1275	7.21916
1276	7.21936
1277	7.2195
1278	7.21959
1279	7.21973
1280	7.21988
1281	7.13868
1282	7.13876
1283	7.13892
1284	7.13911
1285	7.13928
1286	7.13946
1287	7.13967
1288	7.13991
1289	7.1402
1290	7.1405
1291	7.08296
1292	7.08326
1293	7.08349
1294	7.08366
1295	7.08381
1296	7.08399
1297	7.08416
1298	7.08429
1299	7.08448
1300	7.08467
1301	7.07461
1302	7.07489
1303	7.0752
1304	7.0756
1305	7.07617
1306	7.07678
1307	7.07741
1308	7.07813
1309	7.07881
1310	7.07952
1311	7.03747
1312	7.03826
1313	7.03908
1314	7.03996
1315	7.04088
1316	7.04172
1317	7.04247
1318	7.04323
1319	7.04399
1320	7.04476
1321	7.01369
1322	7.0144
1323	7.01501
1324	7.01558
1325	7.01616
1326	7.01672
1327	7.01729
1328	7.01786
1329	7.01839
1330	7.01889
1331	6.95019
1332	6.95062
1333	6.95118
1334	6.95171
1335	6.9522
1336	6.95259
1337	6.95303
1338	6.95347
1339	6.95391
1340	6.95423
1341	6.91989
1342	6.92017
1343	6.92042
1344	6.9207
1345	6.92095
1346	6.92122
1347	6.9215
1348	6.9217
1349	6.92195
1350	6.9222
1351	6.85745
1352	6.85754
1353	6.85771
1354	6.85786
1355	6.85792
1356	6.85801
1357	6.85807
1358	6.85808
1359	6.85807
1360	6.85803
1361	6.8437
1362	6.84368
1363	6.84364
1364	6.84359
1365	6.84359
1366	6.84355
1367	6.84349
1368	6.84339
1369	6.84324
1370	6.84312
1371	6.77428
1372	6.77407
1373	6.77386
1374	6.77362
1375	6.77334
1376	6.7731
1377	6.77295
1378	6.77283
1379	6.77272
1380	6.77259
1381	6.7264
1382	6.72631
1383	6.72621
1384	6.72611
1385	6.726
1386	6.72584
1387	6.7257
1388	6.72561
1389	6.72558
1390	6.72562
1391	6.70519
1392	6.70532
1393	6.70544
1394	6.70548
1395	6.70546
1396	6.7054
1397	6.70538
1398	6.70533
1399	6.70531
1400	6.70535
1401	6.66418
1402	6.66424
1403	6.6644
1404	6.66472
1405	6.66512
1406	6.66561
1407	6.66616
1408	6.66685
1409	6.66754
1410	6.66823
1411	6.67064
1412	6.67138
1413	6.67211
1414	6.67289
1415	6.67354
1416	6.67414
1417	6.67463
1418	6.67507
1419	6.67546
1420	6.67575
1421	6.67519
1422	6.67537
1423	6.67548
1424	6.67555
1425	6.67565
1426	6.67575
1427	6.67578
1428	6.67576
1429	6.67568
1430	6.67571
1431	6.65706
1432	6.65717
1433	6.65731
1434	6.65743
1435	6.6575
1436	6.65757
1437	6.65766
1438	6.65781
1439	6.65792
1440	6.65801
1441	6.6271
1442	6.62709
1443	6.62709
1444	6.62709
1445	6.62711
1446	6.62711
1447	6.62711
1448	6.6272
1449	6.62722
1450	6.62727
1451	6.60651
1452	6.60646
1453	6.60636
1454	6.60625
1455	6.60607
1456	6.60585
1457	6.60571
1458	6.60555
1459	6.60536
1460	6.60513
1461	6.53798
1462	6.5378
1463	6.53778
1464	6.53786
1465	6.53798
1466	6.53817
1467	6.53837
1468	6.53864
1469	6.53896
1470	6.53928
1471	6.52548
1472	6.52585
1473	6.52618
1474	6.52644
1475	6.52653
1476	6.52663
1477	6.52666
1478	6.52665
1479	6.52662
1480	6.52658
1481	6.50647
1482	6.50651
1483	6.50649
1484	6.50647
1485	6.50645
1486	6.50639
1487	6.50634
1488	6.50628
1489	6.5062
1490	6.50615
1491	6.44822
1492	6.44822
1493	6.44818
1494	6.44808
1495	6.4479
1496	6.44772
1497	6.44767
1498	6.44767
1499	6.44769
1500	6.44764
1501	6.39688
1502	6.39694
1503	6.39714
1504	6.39743
1505	6.39783
1506	6.39822
1507	6.39864
1508	6.39914
1509	6.39968
1510	6.40013
1511	6.38262
1512	6.383
1513	6.38331
1514	6.38352
1515	6.38373
1516	6.38392
1517	6.3841
1518	6.38431
1519	6.38453
1520	6.38479
1521	6.39262
1522	6.39275
1523	6.39283
1524	6.39288
1525	6.39293
1526	6.39298
1527	6.39306
1528	6.39313
1529	6.3932
1530	6.3933
1531	6.34089
1532	6.34113
1533	6.34137
1534	6.34166
1535	6.34196
1536	6.34223
1537	6.34247
1538	6.3427
1539	6.34293
1540	6.34315
1541	6.33882
1542	6.33908
1543	6.33928
1544	6.33947
1545	6.33966
1546	6.33983
1547	6.33999
1548	6.34021
1549	6.34054
1550	6.34083
1551	6.32059
1552	6.32082
1553	6.32108
1554	6.32127
1555	6.32145
1556	6.32161
1557	6.32176
1558	6.32181
1559	6.3218
1560	6.32176
1561	6.26457
1562	6.26461
1563	6.26471
1564	6.26476
1565	6.26483
1566	6.26481
1567	6.26476
1568	6.26469
1569	6.26456
1570	6.26448
1571	6.19692
1572	6.19686
1573	6.19681
1574	6.19677
1575	6.1967
1576	6.19658
1577	6.19642
1578	6.19616
1579	6.19594
1580	6.19575
1581	6.16485
1582	6.16473
1583	6.16469
1584	6.16472
1585	6.16475
1586	6.16483
1587	6.16485
1588	6.16488
1589	6.16492
1590	6.16495
1591	6.14296
1592	6.14296
1593	6.14298
1594	6.14297
1595	6.14297
1596	6.14301
1597	6.14299
1598	6.14294
1599	6.1429
1600	6.14285
1601	6.10032
1602	6.10022
1603	6.10018
1604	6.1002
1605	6.1003
1606	6.1005
1607	6.10076
1608	6.1011
1609	6.10155
1610	6.10188
